  D1 D2 D3 D4 D5 D6 D7 D8 D9 D10
CROIT         3 0 0 0 0 1 0 0 0 1
CROYAIT       1 0 0 4 0 0 0 0 0 0
CUSTINE       1 0 3 1 0 0 0 0 0 0
DÉCHIRENT     1 0 1 0 1 0 1 0 0 1
DÉCLAMATIONS  0 1 0 1 2 0 0 0 0 1
DÉCRETS       0 0 1 3 0 0 0 0 0 1
DÉGRADER      0 0 1 0 2 0 2 0 0 0
DEMANDE       0 0 0 3 0 1 1 0 0 0
DESCENDRE     1 0 0 1 0 0 0 1 0 2
DÉSHONORER    0 0 0 0 1 0 2 0 0 2
DÉSORDRE      0 0 1 0 2 0 0 0 0 2
DESSEIN       0 0 0 2 0 0 1 0 0 2
DESTINÉE      1 0 0 0 2 0 2 0 0 0
DÉTAIL        0 0 0 1 0 0 0 1 0 3
DÉTENUS       0 0 0 0 0 0 0 0 0 5
DEVENUS       1 0 0 0 0 2 1 0 0 1
DICTATURE     0 0 0 0 0 0 0 0 0 5
DIEUX         0 1 2 0 1 0 1 0 0 0
DISCORDE      0 0 0 1 0 0 1 1 0 2
DISENT        0 3 0 0 0 0 0 0 0 2
DISPARAISSENT 0 0 0 0 0 0 1 0 1 3
DISSOUDRE     1 0 0 1 1 1 0 1 0 0
DONNÉE        1 0 0 1 0 1 2 0 0 0
DOUX          1 0 0 0 0 0 2 0 0 2
ÉCUEIL        1 0 0 0 2 0 1 0 0 1
EFFACER       0 0 1 0 0 0 3 0 0 1
EFFETS        0 1 0 0 0 0 1 0 0 3
EFFORCENT     0 1 1 0 0 1 0 0 1 1
ÉGOISME       0 0 0 0 1 0 3 0 0 1
ENFANT        1 0 1 0 0 0 3 0 0 0
ENTENDRE      0 0 1 2 0 0 0 0 0 2
ENTENDU       0 0 0 1 0 0 4 0 0 0
ENTRAÎNÉS     0 0 1 0 1 1 2 0 0 0
ENTRAVER      1 0 0 1 0 0 0 1 0 2
ÉTENDRE       0 0 0 0 0 1 3 0 0 1
other                   4316 1226 1948 3457 3708 2299 5264 1013 542 7013
