"Adj??" "AdjMS" "Adj?P" "Adv" "AdvGP" "CCoord" "CCoordAdj" "CCoordPrepDe" "CSub" "Det" "Det??" "DetFS" "DetMP" "DetMS" "Elim" "Nom??" "NomFS" "NomInc" "NomM?" "NomMS" "Nom?P" "NomPr" "NomPrXXInc" "NomPrXXPrenom" "Nom?S" "NomXXDate" "Ppa??" "PpaFP" "PpaFS" "PpaMP" "PpaMS" "PpaMSp" "Ppr" "Prep" "PrepDet" "Pro" "ProRel" "Typo" "VCONJP" "VCONJS" "VINF" "AdjFS" "CCoordNom" "CCoordNomPr" "CCoordVCONJP" "CCoordVCONJS" "DetNum" "NomMP" "NomXXMes" "NomXXMon" "TypoCoordNom" "TypoCoordPpa" "TypoCoordPrepDe" "VCONJPp" "CCoordAdv" "CCoordPrep" "CCoordVCONJSp" "NomXXNum" "TypoCoordPrep" "TypoCoordVCONJSp" "VCONJSp" "AdjFP" "AdjM?" "CCoordCSub" "CCoordNomXXDate" "VINFp" "AdjMP" "CCoordDet" "CCoordProRel" "CCoordVINF" "TypoCoordNomPr" "TypoCoordVCONJS" "NomFP" "Adj?S" "CCoordNomXXNum" "TypoCoordAdj" "CCoordPpa" "TypoCoordVINF" "CCoordPrepDet" "TypoCoordPrepDet" "Pprp" "TypoCoordAdv" "NomXXAdr" "TypoCoordVCONJP" "CCoordVCONJPp" "TypoCoordProRel" "TypoCoordNomXXDate" "CCoordPpr" "NomXXHeure" "NomXXUrl" "CCoordVINFp" "TypoCoordNomXXNum" "NomXXMail"
"64" 36 1 0 11 3 9 1 2 1 1 62 0 4 5 3 0 24 2 0 24 26 42 21 11 44 8 4 3 4 0 9 2 0 91 2 11 8 86 3 24 9 1 6 1 0 0 1 0 0 1 4 0 0 1 0 2 0 1 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"65" 72 5 5 68 18 11 1 2 21 9 112 12 8 14 0 1 48 3 0 52 52 3 68 4 69 27 3 1 4 6 28 2 6 205 0 90 30 169 14 88 42 2 3 2 0 2 0 1 0 0 0 0 0 1 0 1 0 2 0 0 2 0 3 2 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"66" 38 1 6 40 11 7 3 1 5 7 73 2 5 3 0 4 25 1 0 28 42 13 13 8 43 12 1 2 2 3 17 2 1 122 1 30 14 125 4 35 14 0 4 0 0 3 1 0 0 1 1 0 0 3 0 2 1 2 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"67" 24 1 1 28 6 7 2 1 4 2 35 3 4 2 0 2 12 2 0 19 17 14 26 9 19 5 3 2 0 0 10 0 2 81 0 23 7 69 3 23 8 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"68" 21 1 2 32 14 7 2 1 7 0 52 3 3 7 0 2 21 6 0 19 31 10 13 10 27 11 1 5 3 1 7 0 3 78 2 37 12 100 5 35 11 0 2 0 0 0 1 0 0 0 0 0 0 1 1 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"69" 12 0 0 7 1 1 2 0 0 6 13 1 2 1 0 1 6 0 0 7 17 3 9 9 8 3 0 1 1 0 3 0 0 26 0 6 3 38 1 9 1 0 3 0 0 0 0 0 0 0 1 0 0 0 1 0 0 3 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"70" 73 2 4 102 5 21 1 3 46 19 180 6 7 14 1 8 42 12 0 68 83 24 28 2 91 5 6 5 7 3 26 0 5 242 3 148 35 187 36 111 46 2 6 2 0 0 0 0 0 0 0 0 1 3 0 3 0 0 0 0 3 0 0 0 0 8 2 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"71" 44 0 7 42 9 13 1 2 4 6 74 8 4 20 2 2 26 6 0 51 43 26 38 19 47 12 2 0 9 0 12 0 4 130 2 39 14 161 5 62 16 0 6 1 0 3 10 0 1 3 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"72" 28 4 3 35 8 4 0 0 6 3 42 8 3 5 0 0 20 2 0 35 15 23 17 4 29 9 1 0 0 2 20 3 1 88 0 32 7 51 3 40 8 0 2 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"73" 21 0 1 4 3 2 1 1 0 1 27 2 0 2 0 0 6 0 0 10 9 5 8 0 23 1 1 0 0 0 5 0 1 38 0 6 2 22 1 9 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"74" 44 5 7 50 8 13 2 0 13 2 82 5 6 12 1 3 34 4 0 34 38 11 21 13 46 7 3 1 4 0 16 2 0 134 1 51 13 133 3 48 29 0 3 0 0 1 1 0 0 1 0 0 0 0 0 2 0 2 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"77" 44 1 5 40 7 5 2 2 11 10 73 4 4 7 0 1 21 2 0 44 40 3 36 13 43 16 2 0 4 1 12 0 3 136 1 30 9 102 9 38 15 0 3 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 1 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"78" 40 0 3 24 11 4 0 1 5 4 39 3 2 5 0 1 16 0 0 34 19 5 20 9 25 9 1 0 0 1 12 1 2 91 0 19 5 68 2 25 12 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"79" 31 4 11 39 15 13 0 0 12 10 80 4 4 6 0 6 27 2 0 48 31 4 31 11 42 21 0 1 1 5 14 0 1 110 1 52 17 152 9 62 17 3 3 1 0 1 0 0 0 0 2 0 0 1 0 1 0 4 0 0 1 0 0 2 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"80" 26 0 3 11 3 1 1 1 8 4 23 2 4 6 0 0 10 1 0 17 17 3 13 5 25 11 1 0 3 0 8 3 2 53 0 23 4 52 3 23 9 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"81" 36 4 10 15 10 4 1 2 5 3 42 1 2 3 0 1 17 2 0 26 23 3 25 12 34 11 2 3 4 1 9 0 2 97 1 24 6 69 4 26 13 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"82" 95 4 15 158 13 32 3 2 63 24 174 10 8 13 1 3 55 6 0 58 104 17 26 4 80 10 3 4 8 6 40 1 7 240 2 185 43 219 63 127 63 3 6 0 0 0 2 1 0 0 1 0 0 3 1 0 0 0 0 0 3 3 4 1 0 4 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"83" 13 0 2 4 1 3 0 0 1 0 27 1 0 4 1 5 15 0 0 13 12 9 6 8 15 7 2 0 1 2 4 1 0 53 1 8 3 38 1 12 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"84" 9 1 2 6 1 0 0 0 0 2 18 1 1 0 0 0 7 0 0 8 7 2 9 1 9 7 0 0 0 0 6 0 2 36 0 10 5 16 0 9 3 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"85" 70 1 6 49 12 20 3 3 21 3 106 9 3 10 0 2 46 19 0 37 40 16 32 10 70 9 4 0 9 5 15 0 5 171 0 50 14 131 13 54 34 0 2 1 0 0 3 0 0 0 0 0 0 2 0 1 0 1 0 0 5 0 0 0 0 2 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"86" 13 0 1 7 2 2 2 1 4 4 29 1 4 3 0 1 9 0 0 14 16 3 7 8 15 4 1 1 1 1 6 0 0 42 0 13 2 34 4 16 7 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"87" 41 3 3 43 6 8 1 4 7 4 73 5 10 8 0 2 26 0 0 38 43 20 27 7 56 15 3 0 2 3 23 1 2 156 1 32 8 128 10 36 18 1 3 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"90" 14 0 1 3 2 3 1 1 2 0 16 3 3 1 0 0 8 1 0 11 10 2 7 5 11 2 0 1 0 0 3 0 1 29 0 12 4 24 4 14 3 1 2 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"91" 33 3 2 16 4 2 3 3 3 3 32 0 6 3 0 1 12 0 0 21 22 2 13 1 27 6 2 0 0 2 5 0 4 75 0 25 7 45 5 17 8 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"92" 67 3 8 65 16 9 1 4 7 7 122 8 6 15 0 3 47 9 0 51 48 8 40 19 56 10 4 1 5 1 30 1 5 172 1 44 16 137 14 63 25 1 9 1 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"93" 27 1 0 22 3 5 3 0 7 7 34 0 0 5 0 1 15 1 0 14 19 4 12 9 12 6 3 0 4 1 6 0 0 54 0 13 5 43 4 19 8 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"94" 14 2 5 6 3 2 1 0 0 0 19 0 2 2 0 0 4 0 0 14 6 4 13 5 8 3 2 0 2 0 2 0 0 24 0 5 3 33 1 8 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"95" 41 2 3 34 7 4 4 4 13 4 52 2 3 10 0 6 17 1 0 31 25 3 19 1 36 11 1 0 2 2 9 0 4 92 0 31 7 66 3 33 14 0 5 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"96" 22 1 5 25 2 3 0 0 1 1 51 1 5 8 0 3 23 0 0 21 22 3 20 14 19 8 1 2 3 0 11 0 3 87 0 29 11 81 4 29 12 1 2 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"97" 18 1 2 13 7 4 0 1 3 0 30 3 3 2 0 2 9 1 0 17 15 2 17 3 25 9 1 0 1 1 11 0 1 64 0 21 6 38 1 19 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"98" 19 1 1 11 4 0 0 0 3 3 29 4 1 2 0 0 13 1 0 11 9 3 17 8 21 7 1 0 2 0 13 1 2 55 0 16 8 34 1 20 8 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"99" 9 2 1 5 2 2 0 2 0 3 14 1 1 3 0 1 6 0 0 9 13 4 10 3 13 5 1 0 1 1 1 1 1 32 0 7 5 40 4 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"100" 10 0 1 4 2 2 0 0 0 2 14 0 0 2 0 1 7 0 0 3 12 2 13 6 9 6 0 0 0 0 3 0 0 20 1 4 1 39 1 7 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"101" 39 1 6 27 7 2 0 1 9 4 61 1 2 6 0 0 20 1 0 28 34 8 25 13 30 8 2 1 2 2 17 1 2 103 2 33 9 73 3 38 14 0 1 0 0 2 2 1 0 0 0 0 0 2 0 1 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"102" 22 1 0 14 1 6 0 1 10 0 32 4 2 3 0 2 14 0 0 13 12 8 4 5 18 1 1 0 2 1 6 0 1 57 0 18 5 37 6 16 10 1 1 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"103" 42 0 1 27 13 7 0 1 6 3 61 5 2 15 0 1 28 2 0 36 20 7 18 13 35 13 0 1 2 0 23 1 1 106 1 27 5 80 5 28 8 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"104" 249 5 18 202 49 36 11 10 60 36 370 11 19 30 1 17 150 8 0 108 147 62 25 4 193 29 2 8 29 13 37 3 10 502 7 221 53 505 58 206 125 4 12 3 0 0 9 3 4 0 0 0 0 2 0 3 0 17 1 0 11 3 0 1 0 10 2 0 0 2 0 0 0 1 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"105" 43 2 10 27 4 8 1 2 3 4 55 5 3 6 0 2 19 1 0 25 23 2 20 1 26 10 0 0 2 2 14 0 2 79 0 23 2 69 4 22 6 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"106" 21 0 1 13 4 6 0 0 3 2 27 0 3 1 0 1 14 3 0 10 11 2 14 6 20 3 0 1 0 0 5 1 0 41 0 14 5 56 1 24 4 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"107" 47 0 2 57 3 13 0 1 9 6 83 1 6 8 1 1 18 6 0 34 35 7 36 19 34 4 1 1 6 3 16 0 2 100 0 34 11 83 12 40 9 0 2 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"108" 10 1 0 5 3 4 0 0 2 3 24 3 2 1 0 2 12 0 0 10 8 8 13 9 16 8 1 0 0 2 2 0 1 30 0 1 1 48 2 5 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"109" 33 2 1 18 5 6 1 1 3 2 46 6 2 9 0 1 18 2 0 34 14 4 14 8 26 2 0 0 5 0 14 0 2 67 0 18 5 78 1 23 5 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"110" 12 1 1 12 4 4 1 0 1 1 37 3 1 2 0 0 22 0 0 12 12 4 13 5 9 6 1 1 2 2 2 0 0 34 0 12 5 64 4 15 6 1 2 1 0 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"111" 17 5 1 16 6 0 0 0 12 3 23 2 2 4 0 1 8 0 0 16 7 9 11 5 14 11 0 0 2 0 17 2 3 37 0 23 6 47 3 28 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"112" 13 1 1 12 4 6 0 0 2 2 30 0 4 7 1 1 13 0 0 13 16 1 22 0 18 7 0 1 1 2 5 0 1 38 1 3 1 60 1 13 2 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 2 1 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"113" 62 3 6 32 6 7 1 1 13 8 92 8 4 7 1 1 30 0 0 49 37 9 30 17 52 18 2 0 3 2 25 1 7 135 0 44 11 110 9 55 24 1 3 2 0 3 4 1 3 0 0 0 0 0 0 1 0 0 0 0 2 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"114" 43 2 5 28 10 11 0 1 9 0 74 5 5 5 0 3 28 0 0 22 28 8 19 6 27 3 0 1 1 2 8 0 1 81 1 25 7 104 7 31 11 2 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"115" 52 2 1 46 8 5 2 2 15 9 76 5 6 4 0 4 34 4 0 32 38 13 21 11 45 6 0 0 9 1 27 0 8 122 2 57 11 111 3 64 20 1 4 0 0 5 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"116" 75 9 7 70 15 11 3 2 21 4 104 10 10 15 0 6 43 6 0 49 38 32 28 10 62 13 0 1 7 6 44 3 6 177 0 72 24 156 7 84 32 1 2 0 0 1 2 1 2 0 0 0 0 0 0 4 0 2 1 0 3 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"117" 18 2 2 13 4 4 0 1 3 2 25 2 4 2 0 3 10 0 0 15 13 6 15 9 13 8 1 1 1 0 7 0 2 56 1 14 5 36 2 18 6 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"118" 31 0 2 40 12 9 0 1 11 3 64 4 16 6 0 2 25 1 0 31 45 7 41 1 32 5 2 3 2 1 15 1 0 117 3 44 21 115 15 43 21 0 2 1 1 2 1 0 1 0 1 0 0 0 0 3 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"119" 135 5 9 95 13 12 9 9 32 20 235 11 13 26 0 6 73 8 0 122 89 39 58 46 120 16 12 6 13 7 38 3 10 357 3 108 49 227 29 114 60 3 5 3 0 2 1 0 0 0 0 0 1 3 0 2 0 1 0 0 2 1 2 1 0 1 3 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"120" 26 0 0 10 2 1 0 2 2 0 35 2 3 3 0 2 15 0 0 22 16 10 11 10 33 15 0 0 1 0 15 0 1 91 2 19 3 59 0 19 7 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"121" 73 1 6 74 10 13 3 3 34 8 143 4 10 14 0 1 42 2 0 50 63 23 21 12 41 2 2 2 6 5 11 0 3 148 1 57 17 140 28 61 25 1 5 2 1 0 0 2 0 0 2 0 0 3 0 1 0 2 0 0 5 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"122" 100 10 10 125 9 33 2 4 33 10 206 11 12 16 0 9 61 2 0 78 68 21 97 9 113 39 5 1 3 1 36 0 6 260 3 137 20 309 30 131 47 3 8 1 1 2 1 1 0 0 0 0 1 0 0 3 0 5 0 0 5 0 2 0 0 2 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"123" 22 1 3 20 2 4 0 1 2 3 29 2 3 3 0 2 11 3 0 13 16 10 10 3 8 5 0 1 3 1 2 0 4 49 2 11 4 34 1 12 9 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"124" 19 1 2 10 4 1 1 2 5 1 32 4 2 1 0 1 10 1 0 15 17 1 9 2 28 6 0 0 0 0 9 0 1 57 1 18 5 38 3 17 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"125" 41 1 7 27 13 5 1 0 4 3 53 0 2 4 0 0 19 0 0 27 25 15 11 19 19 8 2 0 1 2 12 0 2 75 2 17 12 74 1 20 12 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"126" 26 0 6 22 9 5 1 0 9 0 49 0 1 10 0 0 13 2 0 32 12 20 17 7 22 5 0 2 3 0 6 0 0 68 0 33 10 89 1 34 7 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"127" 48 2 8 30 6 7 4 0 6 7 61 5 7 9 0 3 18 3 0 30 34 11 20 11 29 7 1 1 4 2 15 0 4 89 2 26 16 107 3 38 14 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 2 0 2 0 1 0 0 0 2 0 0 0 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"128" 54 5 8 91 16 14 3 1 23 12 87 7 6 12 0 4 32 2 0 40 56 34 21 5 41 11 4 1 7 4 21 2 3 165 1 91 19 131 16 79 26 0 3 0 0 3 0 0 0 0 0 0 0 1 0 0 0 2 0 0 2 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"129" 61 2 3 74 9 10 2 2 33 16 114 8 7 13 1 10 42 3 0 65 54 23 17 23 36 14 2 4 2 2 25 0 2 199 3 93 33 146 14 77 47 0 3 1 0 2 0 0 0 0 0 0 0 1 1 1 0 4 0 0 1 0 3 3 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"130" 86 2 10 93 24 19 4 1 21 3 167 7 10 15 0 1 57 9 0 81 56 24 69 33 70 20 7 5 7 3 29 1 7 256 1 65 25 219 13 73 45 2 3 2 0 0 1 0 1 0 1 0 0 1 0 0 0 3 0 0 6 0 1 0 0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"131" 16 1 0 5 7 1 1 1 0 0 36 0 2 2 0 0 13 0 0 11 16 12 18 12 21 4 1 0 3 2 6 0 0 49 0 8 5 40 1 14 2 0 5 1 0 0 1 0 1 0 4 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"132" 110 6 8 125 31 26 0 4 24 20 190 16 8 23 1 6 83 1 0 85 93 11 9 6 73 6 8 4 9 4 42 3 10 265 7 209 42 345 42 136 71 4 3 0 1 2 0 4 0 0 1 0 0 3 3 2 0 2 0 0 4 2 1 1 0 1 0 0 2 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"133" 36 0 15 34 7 11 1 2 7 6 97 4 3 6 0 2 27 1 0 39 49 28 31 20 50 20 1 1 1 3 20 0 2 153 1 29 12 123 9 37 10 2 3 1 0 0 3 4 0 1 3 0 0 1 0 1 0 6 1 0 5 2 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"134" 77 3 11 81 9 13 1 1 28 15 112 5 4 10 0 4 39 1 0 58 53 20 40 23 51 12 2 1 4 4 28 1 1 178 2 109 18 224 19 74 49 0 8 0 0 0 1 3 0 0 3 0 1 1 0 0 0 0 0 0 7 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"135" 21 2 2 7 4 1 2 0 2 1 27 0 0 5 0 4 11 3 0 11 6 4 16 7 13 5 0 0 1 0 3 0 1 30 0 9 6 40 0 20 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"136" 55 4 2 72 13 10 2 0 18 3 87 5 1 11 0 3 33 1 0 29 20 13 20 12 31 3 2 2 5 1 15 2 2 84 3 65 14 123 13 65 20 2 1 1 1 0 1 2 1 0 0 0 0 0 0 0 0 1 0 0 4 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
