"Adj??" "AdjMS" "Adj?P" "Adv" "AdvGP" "CCoord" "CCoordAdj" "CCoordPrepDe" "CSub" "Det" "Det??" "DetFS" "DetMP" "DetMS" "Elim" "Nom??" "NomFS" "NomInc" "NomM?" "NomMS" "Nom?P" "NomPr" "NomPrXXInc" "NomPrXXPrenom" "Nom?S" "NomXXDate" "Ppa??" "PpaFP" "PpaFS" "PpaMP" "PpaMS" "PpaMSp" "Ppr" "Prep" "PrepDet" "Pro" "ProRel" "Typo" "VCONJP" "VCONJS" "VINF" "AdjFS" "CCoordNom" "CCoordNomPr" "CCoordVCONJP" "CCoordVCONJS" "DetNum" "NomMP" "NomXXMes" "NomXXMon" "TypoCoordNom" "TypoCoordPpa" "TypoCoordPrepDe" "VCONJPp" "CCoordAdv" "CCoordPrep" "CCoordVCONJSp" "NomXXNum" "TypoCoordPrep" "TypoCoordVCONJSp" "VCONJSp" "AdjFP" "AdjM?" "CCoordCSub" "CCoordNomXXDate" "VINFp" "AdjMP" "CCoordDet" "CCoordProRel" "CCoordVINF" "TypoCoordNomPr" "TypoCoordVCONJS" "NomFP" "Adj?S" "CCoordNomXXNum" "TypoCoordAdj" "CCoordPpa" "TypoCoordVINF" "CCoordPrepDet" "TypoCoordPrepDet" "Pprp" "TypoCoordAdv" "NomXXAdr" "TypoCoordVCONJP" "CCoordVCONJPp" "TypoCoordProRel" "TypoCoordNomXXDate" "CCoordPpr" "NomXXHeure" "NomXXUrl" "CCoordVINFp" "TypoCoordNomXXNum" "NomXXMail"
"15" 13 1 0 7 12 2 0 1 3 1 35 3 5 1 0 1 15 3 0 10 15 11 8 9 27 4 3 1 1 0 8 0 1 57 0 19 7 67 4 20 8 1 2 0 1 2 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 32 1 3 31 8 7 0 0 8 4 43 1 3 7 0 0 15 0 0 27 17 12 22 10 24 5 0 1 0 1 17 1 3 92 0 28 9 70 2 28 22 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" 25 7 3 28 8 3 0 1 3 3 40 4 5 8 0 2 17 3 0 24 18 12 16 0 35 5 6 0 2 1 14 1 0 79 1 19 9 59 3 32 12 0 3 0 0 3 0 0 0 0 0 0 0 0 1 3 0 0 1 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"18" 58 1 4 37 12 11 1 0 7 6 62 4 8 14 1 2 23 7 0 37 35 9 17 11 41 4 0 2 6 1 15 0 3 108 2 54 14 126 7 38 18 0 2 1 0 1 1 0 1 0 0 0 0 1 0 2 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" 22 1 2 8 3 5 2 1 3 0 24 4 1 4 0 2 12 0 0 14 17 5 12 8 13 14 0 0 0 2 8 1 1 57 0 17 2 43 1 20 4 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20" 58 2 3 72 14 14 0 3 24 3 115 3 8 17 1 5 36 6 0 64 40 22 28 26 55 8 3 1 2 2 26 0 3 153 3 99 25 192 6 84 37 0 2 2 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 5 0 3 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" 23 0 2 8 4 3 0 2 2 1 53 1 1 2 0 0 22 0 0 22 14 3 20 19 17 10 1 0 1 1 9 0 0 72 0 8 11 29 3 20 4 2 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 4 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" 35 2 3 31 9 5 2 3 10 7 66 5 1 11 0 1 27 1 0 41 25 15 13 15 32 6 4 0 1 1 17 0 1 107 0 36 15 92 4 41 15 1 5 0 0 2 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 2 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"23" 12 0 2 21 4 6 1 1 3 0 31 3 3 4 0 3 14 0 0 12 13 5 5 2 25 8 0 0 6 0 5 0 1 52 2 14 5 48 3 15 5 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" 75 1 4 63 15 21 6 2 26 7 118 9 8 17 0 5 35 5 0 63 36 12 47 25 67 7 3 1 6 5 26 0 8 164 1 67 16 195 10 84 32 1 1 1 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" 15 0 5 8 7 2 0 0 2 1 35 2 1 3 0 0 10 0 0 19 14 14 13 2 24 5 0 0 1 1 6 2 0 46 1 12 7 44 0 23 2 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"26" 18 0 0 12 0 3 0 1 3 2 36 2 0 0 0 1 18 2 0 8 7 11 10 11 18 6 0 1 3 0 6 1 0 55 0 8 3 37 1 12 10 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"27" 51 6 4 48 10 5 1 2 8 8 79 6 1 3 0 3 29 0 0 46 18 6 25 9 46 14 2 0 1 0 18 0 3 125 0 66 13 122 5 56 27 0 2 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"28" 9 0 1 17 1 2 1 0 4 0 19 1 0 2 0 1 6 0 0 9 7 0 22 13 10 3 0 1 0 5 6 0 2 30 0 12 0 37 6 11 2 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"29" 36 2 5 52 6 15 1 2 27 11 96 6 9 8 1 4 31 4 0 38 48 8 56 6 40 15 6 3 4 7 42 5 5 146 2 103 14 155 26 79 31 0 2 1 0 1 0 1 0 0 1 0 1 1 0 1 0 3 0 0 0 1 0 1 0 2 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"30" 33 0 2 25 10 7 3 1 4 5 48 0 2 5 0 4 17 8 0 23 19 8 13 9 28 9 1 1 3 2 17 2 6 101 2 17 10 85 2 22 22 0 1 1 0 0 2 1 0 1 0 0 0 1 0 0 0 3 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"31" 10 0 3 2 2 5 0 2 4 2 26 3 1 4 0 1 13 1 0 15 10 4 16 15 11 5 0 0 3 1 10 4 0 48 1 11 4 34 2 19 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 3 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"32" 225 1 7 150 37 43 6 3 49 25 340 10 20 33 0 10 142 4 0 106 148 35 32 2 163 20 4 11 25 11 28 4 6 445 4 162 39 378 47 157 79 4 14 1 0 4 11 2 8 0 0 1 0 4 0 9 0 7 1 0 9 2 1 1 0 7 1 0 0 2 0 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"33" 64 1 7 39 6 11 2 2 15 5 77 3 7 14 0 3 19 4 0 52 37 8 24 17 44 9 3 1 6 2 20 0 2 121 5 34 7 100 10 44 27 0 3 1 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 2 0 0 2 1 0 0 0 2 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"34" 78 3 8 66 10 14 2 0 16 9 101 4 4 17 0 3 35 12 0 62 37 10 38 22 61 9 2 0 3 2 22 0 3 169 2 64 19 168 8 57 23 3 6 0 0 1 1 0 0 3 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" 27 1 6 32 5 6 2 0 3 2 49 3 3 5 0 1 21 5 0 11 21 10 14 4 26 5 0 1 4 0 6 1 2 74 0 24 10 71 6 19 15 0 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 3 0 0 2 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"36" 25 0 0 21 8 5 1 2 2 2 39 3 3 4 0 1 11 1 0 24 18 22 27 9 7 3 1 2 1 2 11 1 1 60 1 20 8 46 3 24 10 0 4 3 0 0 0 0 0 0 2 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"37" 46 2 5 55 16 6 2 2 7 5 65 5 1 9 0 2 28 3 0 31 22 8 23 14 42 8 1 2 4 3 26 0 5 111 1 47 19 113 5 48 23 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 2 0 0 1 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"38" 84 6 1 65 14 10 4 3 17 5 134 7 9 8 0 5 41 3 0 63 48 7 42 29 55 7 0 1 5 5 35 0 6 186 3 52 24 146 14 59 27 0 3 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 3 0 1 0 0 0 1 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"39" 52 4 1 23 5 6 5 4 5 6 57 4 2 6 0 0 21 0 0 24 28 19 9 12 41 10 1 0 0 0 8 0 1 104 2 26 8 66 4 25 6 0 5 0 0 0 0 0 0 0 4 0 1 0 1 1 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"40" 40 3 2 32 11 8 0 2 7 2 74 4 7 8 0 0 26 3 0 40 27 4 26 8 39 14 0 2 3 0 22 0 1 120 0 47 17 89 4 46 15 2 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"41" 16 0 0 10 4 4 3 1 4 0 26 1 1 0 0 0 9 0 0 11 11 5 10 9 18 4 1 0 0 0 12 0 0 40 0 9 3 36 1 12 5 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"42" 20 2 3 21 9 4 1 2 4 5 41 1 1 5 0 3 14 1 0 24 8 3 21 9 23 15 0 1 1 0 10 0 1 76 0 22 8 52 1 31 5 0 1 0 0 2 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"43" 61 1 9 64 10 20 3 2 15 8 109 4 1 8 0 9 37 0 0 55 47 26 53 44 50 13 1 1 4 4 37 4 3 174 2 43 21 141 23 48 21 2 6 2 0 1 3 1 1 1 0 0 0 0 1 1 0 5 0 0 2 0 0 0 0 0 1 0 1 0 1 0 0 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"44" 45 2 5 59 6 16 2 0 31 18 109 4 7 14 3 2 45 2 0 38 53 7 28 12 42 7 4 3 2 4 9 0 6 153 0 123 23 171 41 75 53 0 3 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"45" 40 0 4 31 4 5 1 2 12 4 77 7 12 20 0 3 34 4 0 33 41 6 19 9 39 3 2 1 8 6 21 3 4 134 0 60 13 95 10 42 22 0 4 0 0 1 2 1 2 0 0 0 0 1 0 0 0 1 0 0 3 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" 24 1 3 27 11 12 0 1 10 1 44 4 6 3 0 5 19 0 0 22 20 5 10 7 17 4 2 1 2 1 11 0 4 69 0 31 7 81 4 26 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"47" 76 3 12 102 19 25 1 4 24 9 167 6 6 18 0 6 67 17 0 76 46 39 43 30 93 21 7 4 7 2 26 0 2 202 1 118 35 334 19 122 41 0 7 1 0 1 0 0 0 1 1 0 0 0 0 0 0 3 0 0 5 0 2 1 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"48" 26 2 3 17 3 2 0 0 5 2 27 0 3 5 0 1 10 4 0 19 11 3 19 10 21 7 0 0 0 0 9 1 1 63 1 12 3 39 1 15 9 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"49" 35 0 4 29 7 5 2 2 2 5 51 3 2 7 0 6 17 5 0 27 22 3 28 15 38 4 0 1 3 1 4 0 7 92 1 26 8 69 5 20 11 1 4 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"50" 72 7 8 55 11 13 3 0 15 1 123 10 8 10 0 2 40 12 0 57 35 15 28 10 61 11 3 2 7 3 21 1 0 131 2 66 14 220 16 63 12 3 6 0 1 0 3 0 2 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"51" 55 3 5 66 9 11 1 2 19 6 87 7 6 15 0 3 39 2 0 42 47 14 27 11 45 7 2 1 3 0 20 0 4 156 1 83 16 173 7 72 22 0 4 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 3 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"52" 25 1 1 24 7 7 1 1 6 3 47 5 5 3 0 1 13 3 0 22 24 4 33 7 30 11 0 2 0 1 11 1 6 88 2 21 5 70 4 23 12 0 1 2 0 1 0 1 0 0 1 0 1 0 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"53" 50 2 5 102 17 22 6 4 18 3 115 6 3 10 4 3 49 5 0 45 53 11 33 14 57 5 3 4 8 3 18 0 5 182 1 75 20 158 15 62 39 3 12 1 1 0 3 2 0 0 0 0 2 4 0 0 0 2 0 0 3 1 2 1 0 1 1 0 0 1 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
