"year" "section" "section.orig" "genre" "author" "years.group"
"19950207N2-008-03" "1995" "POL-FRA" "FRA" "PORTRAIT" "COURTOIS GERARD" 2
"19950207N2-014-01" "1995" "HOR" "HOR" "NECROLOGIE" "TINCQ HENRI" 2
"19950207N2-006-63" "1995" "INT-ETR" "INT" "ENTRETIEN" "KAUFFMANN SYLVIE" 2
"19950209N2-002-03" "1995" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19950214N2-004-01" "1995" "INT-ETR" "INT" "ENTRETIEN" "DHOMBRES DOMINIQUE" 2
"19950215N2-003-01" "1995" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 2
"19950301N2-002-05" "1995" "INT-ETR" "INT" "PORTRAIT" "ISNARD JACQUES" 2
"19950304N2-002-61" "1995" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19950314N2-013-04" "1995" "HOR" "HOR" "NECROLOGIE" "NAU JEAN YVES" 2
"19950316N2-006-33" "1995" "POL-FRA" "FRA" "ENTRETIEN" "GROSRICHARD FRANCOIS" 2
"19950318N2-003-05" "1995" "INT-ETR" "INT" "PORTRAIT" "DUMAY JEAN MICHEL" 2
"19950323N2-003-04" "1995" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19950329N2-016-01" "1995" "ECO-ENT" "ENT" "NECROLOGIE" "DECAMPS MARIE CLAUDE" 2
"19950403N2-011-31" "1995" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 2
"19950406N2-025-01" "1995" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 2
"19950407N2-004-01" "1995" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 2
"19950408N2-014-01" "1995" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19950504N2-003-02" "1995" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19950522N2-014-01" "1995" "HOR" "HOR" "ENTRETIEN" "ROSENZWEIG LUC" 2
"19950524N2-008-03" "1995" "POL-FRA" "FRA" "PORTRAIT" "ROSENZWEIG LUC" 2
"19950529N2-011-31" "1995" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 2
"19950612N2-003-62" "1995" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19950621N2-007-04" "1995" "POL-FRA" "FRA" "ENTRETIEN" "GROSRICHARD FRANCOIS" 2
"19950623N2-012-62" "1995" "INT-ETR" "INT" "NECROLOGIE" "LABE YVES MARIE" 2
"19950626N2-008-61" "1995" "HOR" "HOR" "NECROLOGIE" "NAU JEAN YVES" 2
"19950704N2-012-33" "1995" "HOR" "HOR" "NECROLOGIE" "TINCQ HENRI" 2
"19950713N2-003-66" "1995" "INT-ETR" "INT" "BIOGRAPHIE" "DECAMPS MARIE CLAUDE" 2
"19950718N2-007-01" "1995" "POL-FRA" "FRA" "ENTRETIEN" "GROSRICHARD FRANCOIS" 2
"19950718N2-019-04" "1995" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19950718N2-009-38" "1995" "HOR" "HOR" "NECROLOGIE" "TINCQ HENRI" 2
"19950721N2-003-65" "1995" "INT-ETR" "INT" "PORTRAIT" "TINCQ HENRI" 2
"19950802N2-005-31" "1995" "POL-FRA" "FRA" "ENTRETIEN" "GROSRICHARD FRANCOIS" 2
"19950817N2-007-03" "1995" "HOR" "HOR" "NECROLOGIE" "KAUFFMANN SYLVIE" 2
"19950902N2-002-06" "1995" "INT-ETR" "INT" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19950919N2-018-03" "1995" "ECO-ENT" "ENT" "PORTRAIT" "GROSRICHARD FRANCOIS" 2
"19950920N2-002-04" "1995" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 2
"19950921N2-006-33" "1995" "POL-FRA" "FRA" "ENTRETIEN" "COURTOIS GERARD" 2
"19950925N2-009-33" "1995" "HOR" "HOR" "NECROLOGIE" "TINCQ HENRI" 2
"19950927N2-012-01" "1995" "HOR" "HOR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19951003N2-006-05" "1995" "POL-FRA" "FRA" "PORTRAIT" "COURTOIS GERARD" 2
"19951004N2-024-33" "1995" "ART" "ART" "ENTRETIEN" "TINCQ HENRI" 2
"19951005N2-002-64" "1995" "INT-ETR" "INT" "ENTRETIEN" "KAUFFMANN SYLVIE" 2
"19951010N2-012-61" "1995" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19951011N2-011-02" "1995" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 2
"19951014N2-013-01" "1995" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19951020N2-018-02" "1995" "ECO-ENT" "ENT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19951104N2-006-34" "1995" "POL-FRA" "FRA" "ENTRETIEN" "GROSRICHARD FRANCOIS" 2
"19951116N2-008-33" "1995" "POL-FRA" "FRA" "PORTRAIT" "GROSRICHARD FRANCOIS" 2
"19951130N2-012-01" "1995" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 2
"19951201N2-002-61" "1995" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 2
"19951211N2-016-33" "1995" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 2
"19951212N2-014-01" "1995" "HOR" "HOR" "NECROLOGIE" "LABE YVES MARIE" 2
"19951212N2-014-02" "1995" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 2
"19951214N2-018-04" "1995" "ECO-ENT" "ENT" "BIOGRAPHIE" "DECAMPS MARIE CLAUDE" 2
"19951216N2-017-62" "1995" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19951230N2-002-05" "1995" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19951230N2-002-01" "1995" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19960106N2-005-34" "1996" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 2
"19960115N2-009-01" "1996" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19960116N2-015-33" "1996" "ECO-ENT" "ENT" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19960118N2-011-63" "1996" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19960119N2-010-01" "1996" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 2
"19960120N2-006-04" "1996" "POL-FRA" "FRA" "ENTRETIEN" "NAU JEAN YVES" 2
"19960122N2-010-31" "1996" "HOR" "HOR" "NECROLOGIE" "CATINCHI PHILIPPE JEAN" 2
"19960127N2-011-01" "1996" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19960203N2-003-61" "1996" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19960216N2-010-01" "1996" "HOR" "HOR" "NECROLOGIE" "TINCQ HENRI" 2
"19960222N2-002-02" "1996" "INT-ETR" "INT" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19960305N2-012-31" "1996" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19960306N2-002-04" "1996" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 2
"19960311N2-006-31" "1996" "POL-FRA" "FRA" "PORTRAIT" "GROSRICHARD FRANCOIS" 2
"19960311N2-003-04" "1996" "INT-ETR" "INT" "ENTRETIEN" "ROSENZWEIG LUC" 2
"19960313N2-014-01" "1996" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19960320N2-012-62" "1996" "HOR" "HOR" "NECROLOGIE" "LABE YVES MARIE" 2
"19960321N2-013-01" "1996" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 2
"19960321N2-013-03" "1996" "HOR" "HOR" "NECROLOGIE" "TINCQ HENRI" 2
"19960323N2-014-61" "1996" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 2
"19960323N2-012-01" "1996" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 2
"19960328N2-018-35" "1996" "ECO-ENT" "ENT" "BIOGRAPHIE" "ISNARD JACQUES" 2
"19960330N2-016-43" "1996" "ECO-ENT" "ENT" "ENTRETIEN" "ISNARD JACQUES" 2
"19960402N2-013-63" "1996" "HOR" "HOR" "BIOGRAPHIE" "TINCQ HENRI" 2
"19960402N2-013-61" "1996" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 2
"19960402N2-025-01" "1996" "ART" "ART" "PORTRAIT" "DHOMBRES DOMINIQUE" 2
"19960402N2-011-61" "1996" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19960403N2-019-02" "1996" "SPO" "SPO" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19960409N2-009-61" "1996" "HOR" "HOR" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19960409N2-009-63" "1996" "HOR" "HOR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19960412N2-026-02" "1996" "ART" "ART" "PORTRAIT" "ROSENZWEIG LUC" 2
"19960413N2-006-35" "1996" "POL-FRA" "FRA" "ENTRETIEN" "NAU JEAN YVES" 2
"19960413N2-014-61" "1996" "HOR" "HOR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19960417N2-005-13" "1996" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19960418N2-002-65" "1996" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 2
"19960420N2-003-04" "1996" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 2
"19960420N2-004-04" "1996" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19960424N2-003-02" "1996" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19960509N2-008-99" "1996" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 2
"19960507N2-014-01" "1996" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 2
"19960510N2-012-01" "1996" "HOR" "HOR" "PORTRAIT" "COURTOIS GERARD" 2
"19960510N2-010-61" "1996" "HOR" "HOR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19960524N2-005-03" "1996" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 2
"19960525N2-003-64" "1996" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 2
"19960525N2-006-64" "1996" "INT-ETR" "INT" "ENTRETIEN" "DHOMBRES DOMINIQUE" 2
"19960529N2-016-01" "1996" "ECO-ENT" "ENT" "ENTRETIEN" "KAUFFMANN SYLVIE" 2
"19960605N2-002-04" "1996" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 2
"19960608N2-006-04" "1996" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 2
"19960615N2-007-61" "1996" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 2
"19960626N2-012-01" "1996" "HOR" "HOR" "NECROLOGIE" "TINCQ HENRI" 2
"19960704N2-014-31" "1996" "HOR" "HOR" "PORTRAIT" "ISNARD JACQUES" 2
"19960708N2-002-64" "1996" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 2
"19960711N2-025-03" "1996" "ART" "ART" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19960712N2-003-64" "1996" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 2
"19960726N2-006-34" "1996" "POL-FRA" "FRA" "PORTRAIT" "DUMAY JEAN MICHEL" 2
"19960726N2-006-35" "1996" "POL-FRA" "FRA" "PORTRAIT" "DUMAY JEAN MICHEL" 2
"19960803N2-002-04" "1996" "INT-ETR" "INT" "PORTRAIT" "TINCQ HENRI" 2
"19960810N2-005-01" "1996" "POL-FRA" "FRA" "ENTRETIEN" "GROSRICHARD FRANCOIS" 2
"19960815N2-005-03" "1996" "POL-FRA" "FRA" "ENTRETIEN" "NAU JEAN YVES" 2
"19960830N2-002-04" "1996" "INT-ETR" "INT" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19960831N2-008-02" "1996" "HOR" "HOR" "NECROLOGIE" "LABE YVES MARIE" 2
"19960905N2-011-01" "1996" "HOR" "HOR" "PORTRAIT" "CHEMIN ARIANE" 2
"19960906N2-012-01" "1996" "HOR" "HOR" "NECROLOGIE" "CATINCHI PHILIPPE JEAN" 2
"19960917N2-013-31" "1996" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 2
"19960930N2-012-33" "1996" "HOR" "HOR" "ENTRETIEN" "LABE YVES MARIE" 2
"19961001N2-025-03" "1996" "ART" "ART" "ENTRETIEN" "LABE YVES MARIE" 2
"19961005N2-006-01" "1996" "POL-FRA" "FRA" "ENTRETIEN" "ISNARD JACQUES" 2
"19961011N2-006-03" "1996" "POL-FRA" "FRA" "PORTRAIT" "ISNARD JACQUES" 2
"19961014N2-002-63" "1996" "INT-ETR" "INT" "PORTRAIT" "ROSENZWEIG LUC" 2
"19961018N2-013-31" "1996" "HOR" "HOR" "PORTRAIT" "ISNARD JACQUES" 2
"19961022N2-014-31" "1996" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 2
"19961022N2-014-33" "1996" "HOR" "HOR" "BIOGRAPHIE" "DHOMBRES DOMINIQUE" 2
"19961101N2-004-01" "1996" "INT-ETR" "INT" "ENTRETIEN" "ROSENZWEIG LUC" 2
"19961104N2-009-01" "1996" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 2
"19961126N2-015-01" "1996" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 2
"19961126N2-015-03" "1996" "HOR" "HOR" "BIOGRAPHIE" "DHOMBRES DOMINIQUE" 2
"19961203N2-015-04" "1996" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 2
"19961205N2-026-01" "1996" "ART" "ART" "NECROLOGIE" "CATINCHI PHILIPPE JEAN" 2
"19961214N2-019-61" "1996" "HOR" "HOR" "NECROLOGIE" "NAU JEAN YVES" 2
"19961217N2-020-01" "1996" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 2
"19961218N2-002-64" "1996" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 2
"19961220N2-013-01" "1996" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 2
"19961223N2-006-04" "1996" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 2
"19961226N2-008-31" "1996" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 2
"19970107N2-029-01" "1997" "ART" "ART" "NECROLOGIE" "LABE YVES MARIE" 3
"19970116N2-006-36" "1997" "POL-FRA" "FRA" "PORTRAIT" "ISNARD JACQUES" 3
"19970118N2-019-01" "1997" "HOR" "HOR" "NECROLOGIE" "CATINCHI PHILIPPE JEAN" 3
"19970118N2-019-02" "1997" "HOR" "HOR" "NECROLOGIE" "CATINCHI PHILIPPE JEAN" 3
"19970121N2-014-61" "1997" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19970121N2-014-63" "1997" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"19970210N2-004-02" "1997" "INT-ETR" "INT" "PORTRAIT" "ROSENZWEIG LUC" 3
"19970211N2-016-61" "1997" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19970211N2-016-63" "1997" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"19970218N2-014-05" "1997" "HOR" "HOR" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"19970224N2-009-61" "1997" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"19970227N2-028-03" "1997" "ART" "ART" "PORTRAIT" "CATINCHI PHILIPPE JEAN" 3
"19970304N2-013-31" "1997" "HOR" "HOR" "ENTRETIEN" "NAU JEAN YVES" 3
"19970304N2-013-33" "1997" "HOR" "HOR" "PORTRAIT" "NAU JEAN YVES" 3
"19970308N2-003-64" "1997" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19970311N2-014-61" "1997" "HOR" "HOR" "NECROLOGIE" "TINCQ HENRI" 3
"19970314N2-012-62" "1997" "HOR" "HOR" "NECROLOGIE" "COURTOIS GERARD" 3
"19970315N2-005-62" "1997" "INT-ETR" "INT" "PORTRAIT" "TINCQ HENRI" 3
"19970401N2-011-61" "1997" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19970402N2-010-02" "1997" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19970409N2-016-03" "1997" "ECO-ENT" "ENT" "ENTRETIEN" "NAU JEAN YVES" 3
"19970416N2-003-63" "1997" "INT-ETR" "INT" "PORTRAIT" "TINCQ HENRI" 3
"19970506N2-015-01" "1997" "HOR" "HOR" "ENTRETIEN" "COURTOIS GERARD" 3
"19970506N2-009-04" "1997" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19970508N2-004-03" "1997" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19970510N2-003-03" "1997" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"19970519N2-009-02" "1997" "POL-FRA" "FRA" "ENTRETIEN" "ISNARD JACQUES" 3
"19970519N2-009-01" "1997" "POL-FRA" "FRA" "ENTRETIEN" "ISNARD JACQUES" 3
"19970522N2-008-04" "1997" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19970529N2-016-02" "1997" "HOR" "HOR" "NECROLOGIE" "NAU JEAN YVES" 3
"19970531N2-029-01" "1997" "HOR" "HOR" "NECROLOGIE" "NAU JEAN YVES" 3
"19970603N2-012-01" "1997" "HOR" "HOR" "PORTRAIT" "CHEMIN ARIANE" 3
"19970613N2-010-02" "1997" "HOR" "HOR" "NECROLOGIE" "GROSRICHARD FRANCOIS" 3
"19970623N2-003-01" "1997" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19970627N2-030-01" "1997" "ART" "ART" "ENTRETIEN" "KECHICHIAN PATRICK" 3
"19970701N2-016-31" "1997" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19970704N2-012-01" "1997" "HOR" "HOR" "PORTRAIT" "COURTOIS GERARD" 3
"19970708N2-012-61" "1997" "HOR" "HOR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"19970711N2-006-03" "1997" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19970714N2-020-61" "1997" "ART" "ART" "PORTRAIT" "LABE YVES MARIE" 3
"19970714N2-020-64" "1997" "ART" "ART" "ENTRETIEN" "LABE YVES MARIE" 3
"19970719N2-003-61" "1997" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19970724N2-009-31" "1997" "POL-FRA" "FRA" "ENTRETIEN" "GROSRICHARD FRANCOIS" 3
"19970725N2-005-01" "1997" "POL-FRA" "FRA" "ENTRETIEN" "ISNARD JACQUES" 3
"19970802N2-005-03" "1997" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"19970807N2-005-35" "1997" "POL-FRA" "FRA" "ENTRETIEN" "NAU JEAN YVES" 3
"19970825N2-014-01" "1997" "HOR" "HOR" "NECROLOGIE" "KAUFFMANN SYLVIE" 3
"19970827N2-024-01" "1997" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"19970909N2-014-61" "1997" "HOR" "HOR" "ENTRETIEN" "ROSENZWEIG LUC" 3
"19970908N2-021-01" "1997" "ART" "ART" "NECROLOGIE" "CONDE GERARD" 3
"19970913N2-014-01" "1997" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19970916N2-018-31" "1997" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19970919N2-014-02" "1997" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19970925N2-006-32" "1997" "POL-FRA" "FRA" "ENTRETIEN" "ISNARD JACQUES" 3
"19970925N2-015-31" "1997" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"19971007N2-017-31" "1997" "HOR" "HOR" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"19971008N2-014-61" "1997" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19971014N2-018-31" "1997" "HOR" "HOR" "ENTRETIEN" "NAU JEAN YVES" 3
"19971014N2-018-33" "1997" "HOR" "HOR" "PORTRAIT" "NAU JEAN YVES" 3
"19971016N2-028-03" "1997" "ART" "ART" "PORTRAIT" "CATINCHI PHILIPPE JEAN" 3
"19971022N2-019-03" "1997" "ECO-ENT" "ENT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19971025N2-019-01" "1997" "HOR" "HOR" "PORTRAIT" "LABE YVES MARIE" 3
"19971028N2-018-01" "1997" "HOR" "HOR" "ENTRETIEN" "ROSENZWEIG LUC" 3
"19971028N2-018-03" "1997" "HOR" "HOR" "PORTRAIT" "ROSENZWEIG LUC" 3
"19971031N2-007-01" "1997" "POL-FRA" "FRA" "BIOGRAPHIE" "ISNARD JACQUES" 3
"19971031N2-012-01" "1997" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19971117N2-005-01" "1997" "POL-FRA" "FRA" "ENTRETIEN" "ISNARD JACQUES" 3
"19971118N2-018-01" "1997" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19971118N2-018-03" "1997" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"19971120N2-002-64" "1997" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"19971202N2-018-01" "1997" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19971206N2-004-02" "1997" "INT-ETR" "INT" "ENTRETIEN" "ROSENZWEIG LUC" 3
"19971216N2-018-01" "1997" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19971216N2-018-06" "1997" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"19971224N2-002-04" "1997" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"19980101N2-007-01" "1998" "HOR" "HOR" "NECROLOGIE" "CONDE GERARD" 3
"19980113N2-002-05" "1998" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"19980120N2-013-31" "1998" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19980121N2-002-02" "1998" "INT-ETR" "INT" "PORTRAIT" "TINCQ HENRI" 3
"19980122N2-025-05" "1998" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"19980129N2-002-06" "1998" "INT-ETR" "INT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19980203N2-014-65" "1998" "HOR" "HOR" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"19980214N2-013-01" "1998" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19980216N2-010-32" "1998" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"19980217N2-011-01" "1998" "HOR" "HOR" "ENTRETIEN" "ROSENZWEIG LUC" 3
"19980220N2-019-61" "1998" "HOR" "HOR" "NECROLOGIE" "CONDE GERARD" 3
"19980223N2-011-61" "1998" "HOR" "HOR" "PORTRAIT" "ROSENZWEIG LUC" 3
"19980302N2-001-02" "1998" "HOR" "HOR" "PORTRAIT" "COURTOIS GERARD" 3
"19980303N2-018-04" "1998" "ECO-ENT" "ENT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"19980303N2-015-31" "1998" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"19980303N2-015-32" "1998" "HOR" "HOR" "BIOGRAPHIE" "TINCQ HENRI" 3
"19980313N2-005-04" "1998" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19980317N2-012-01" "1998" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19980323N2-013-31" "1998" "HOR" "HOR" "NECROLOGIE" "KAUFFMANN SYLVIE" 3
"19980323N2-003-61" "1998" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"19980324N2-011-01" "1998" "HOR" "HOR" "NECROLOGIE" "CATINCHI PHILIPPE JEAN" 3
"19980326N2-010-61" "1998" "HOR" "HOR" "NECROLOGIE" "NAU JEAN YVES" 3
"19980404N2-023-01" "1998" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19980407N2-005-02" "1998" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19980423N2-014-61" "1998" "HOR" "HOR" "OPINION" "DHOMBRES DOMINIQUE" 3
"19980428N2-016-61" "1998" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19980512N2-014-01" "1998" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19980512N2-007-01" "1998" "POL-FRA" "FRA" "ENTRETIEN" "ISNARD JACQUES" 3
"19980514N2-018-01" "1998" "HOR" "HOR" "NECROLOGIE" "TINCQ HENRI" 3
"19980523N2-014-04" "1998" "ECO-ENT" "ENT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19980526N2-016-03" "1998" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19980606N2-011-61" "1998" "HOR" "HOR" "NECROLOGIE" "NAU JEAN YVES" 3
"19980610N2-S01-03" "1998" "SPO" "SPO" "PORTRAIT" "GEORGES PIERRE" 3
"19980612N2-026-01" "1998" "HOR" "HOR" "NECROLOGIE" "CATINCHI PHILIPPE JEAN" 3
"19980612N2-026-02" "1998" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19980613N2-S02-06" "1998" "SPO" "SPO" "PORTRAIT" "TINCQ HENRI" 3
"19980615N2-012-32" "1998" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"19980618N2-013-02" "1998" "HOR" "HOR" "NECROLOGIE" "ROSENZWEIG LUC" 3
"19980620N2-R05-04" "1998" "SPO" "SPO" "ENTRETIEN" "TINCQ HENRI" 3
"19980620N2-012-04" "1998" "HOR" "HOR" "PORTRAIT" "COURTOIS GERARD" 3
"19980623N2-016-61" "1998" "INT-ETR" "INT" "ENTRETIEN" "ROSENZWEIG LUC" 3
"19980623N2-028-01" "1998" "HOR" "HOR" "NECROLOGIE" "LABE YVES MARIE" 3
"19980624N2-S02-07" "1998" "SPO" "SPO" "PORTRAIT" "TINCQ HENRI" 3
"19980625N2-S02-35" "1998" "SPO" "SPO" "PORTRAIT" "TINCQ HENRI" 3
"19980625N2-S06-62" "1998" "SPO" "SPO" "ENTRETIEN" "TINCQ HENRI" 3
"19980625N2-002-64" "1998" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"19980629N2-017-04" "1998" "SPO" "SPO" "ENTRETIEN" "TINCQ HENRI" 3
"19980630N2-012-01" "1998" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 3
