"year" "section" "section.orig" "genre" "author" "years.group"
"19890506N2-006-03" "1989" "POL-FRA" "POL" "NECROLOGIE" "ROLLAT ALAIN" 1
"19890523N2-010-02" "1989" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 1
"19890622N2-014-33" "1989" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19890721N2-010-05" "1989" "ART" "ART" "PORTRAIT" "LABE YVES MARIE" 1
"19890821N2-003-02" "1989" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19890824N2-006-04" "1989" "INT-ETR" "ETR" "NECROLOGIE" "DECAMPS MARIE CLAUDE" 1
"19890830N2-006-11" "1989" "INT-ETR" "ETR" "NECROLOGIE" "DECAMPS MARIE CLAUDE" 1
"19890916N2-024-03" "1989" "ART" "ART" "PORTRAIT" "DUMAY JEAN MICHEL" 1
"19890918N2-018-66" "1989" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19890919N2-001-61" "1989" "INT-ETR" "ETR" "ENTRETIEN" "ROSENZWEIG LUC" 1
"19891021N2-028-02" "1989" "ART" "ART" "PORTRAIT" "LABE YVES MARIE" 1
"19891028N2-004-02" "1989" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 1
"19891031N2-026-07" "1989" "ECO-ENT" "ECO" "NECROLOGIE" "ROSENZWEIG LUC" 1
"19891109N2-003-01" "1989" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 1
"19891127N2-004-01" "1989" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19891127N2-003-01" "1989" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19891128N2-003-05" "1989" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19891213N2-003-05" "1989" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19891213N2-003-06" "1989" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19891214N2-006-01" "1989" "INT-ETR" "ETR" "ENTRETIEN" "ROSENZWEIG LUC" 1
"19891220N2-020-05" "1989" "ART" "ART" "NECROLOGIE" "DUMAY JEAN MICHEL" 1
"19891227N2-004-02" "1989" "INT-ETR" "ETR" "BIOGRAPHIE" "KAUFFMANN SYLVIE" 1
"19900104N2-007-04" "1990" "POL-FRA" "POL" "ENTRETIEN" "ROLLAT ALAIN" 1
"19900117N2-023-01" "1990" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19900122N2-007-05" "1990" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 1
"19900127N2-020-06" "1990" "ECO-ENT" "ECO" "NECROLOGIE" "LABE YVES MARIE" 1
"19900131N2-003-05" "1990" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19900203N2-007-32" "1990" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 1
"19900206N2-026-06" "1990" "ECO-ENT" "ECO" "NECROLOGIE" "GROSRICHARD FRANCOIS" 1
"19900320N2-018-61" "1990" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19900411N2-006-02" "1990" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19900419N2-007-02" "1990" "INT-ETR" "ETR" "NECROLOGIE" "DECAMPS MARIE CLAUDE" 1
"19900424N2-006-01" "1990" "INT-ETR" "ETR" "NECROLOGIE" "ROSENZWEIG LUC" 1
"19900515N2-003-03" "1990" "INT-ETR" "ETR" "PORTRAIT" "ROSENZWEIG LUC" 1
"19900601N2-016-03" "1990" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19900604N2-009-03" "1990" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19900613N2-024-32" "1990" "ECO-ENT" "ECO" "BIOGRAPHIE" "ROSENZWEIG LUC" 1
"19900627N2-008-04" "1990" "POL-FRA" "POL" "BIOGRAPHIE" "ROLLAT ALAIN" 1
"19900710N2-008-05" "1990" "POL-FRA" "POL" "NECROLOGIE" "ROLLAT ALAIN" 1
"19900713N2-001-01" "1990" "POL-FRA" "POL" "ENTRETIEN" "ISNARD JACQUES" 1
"19900803N2-006-67" "1990" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19900913N2-017-04" "1990" "ART" "ART" "NECROLOGIE" "CONDE GERARD" 1
"19900927N2-031-04" "1990" "ECO-ENT" "ECO" "PORTRAIT" "DHOMBRES DOMINIQUE" 1
"19901023N2-019-03" "1990" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19901027N2-023-01" "1990" "ART" "ART" "PORTRAIT" "ROLLAT ALAIN" 1
"19901027N2-044-63" "1990" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19901103N2-006-02" "1990" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 1
"19901113N2-040-65" "1990" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19901122N2-003-62" "1990" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19901126N2-007-04" "1990" "POL-FRA" "POL" "NECROLOGIE" "ROLLAT ALAIN" 1
"19901124N2-007-03" "1990" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 1
"19901129N2-006-03" "1990" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 1
"19901201N2-006-02" "1990" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19901203N2-004-07" "1990" "INT-ETR" "ETR" "PORTRAIT" "ISNARD JACQUES" 1
"19901203N2-001-64" "1990" "INT-ETR" "ETR" "PORTRAIT" "ROSENZWEIG LUC" 1
"19901207N2-038-02" "1990" "POL-FRA" "POL" "BIOGRAPHIE" "ROLLAT ALAIN" 1
